Record_ID,Age_Numeric,Gender,Occupation,Income_Numeric,Primary_OTT_Platform,Subscriptions_Numeric,Tenure_Months,Monthly_Spend_Numeric,Share_Account,Hours_Watched_Numeric,Preferred_Genre,Primary_Device,Usual_Viewing_Time,Pricing_Satisfaction,Content_Satisfaction,Content_Variety,Recommendation_Quality,Advertisement_Tolerance,Streaming_Experience,Switched_Before,Competitor_Awareness,Switch_Intent,Main_Reason_For_Switching,What_Would_Encourage_Stay,Suggestions_To_Improve,Data_Source,Cost_Fatigue_Score,Content_Fatigue_Score,Experience_Fatigue_Score,Overall_Fatigue_Score,Dominant_Fatigue_Type
724,21.0,Male,Student,0,Netflix,3.0,30.0,750,Yes,7.5,Thriller,Mobile,Evening,4,4,3,4,4,4,No,No,No,No plans to switch,"Better recommendations, Better content",Improve content variety,Synthetic,40.86,49.0,40.0,43.29,Content
725,21.0,Male,Student,0,Netflix,3.0,9.0,1750,Yes,2.5,Comedy,Mobile,Evening,4,3,5,5,4,3,No,Yes,No,No plans to switch,"Lower price, Family plans",Reduce buffering,Synthetic,58.0,42.0,42.0,47.33,Cost
726,21.0,Female,Student,37500,Disney+ Hotstar,5.0,9.0,100,No,7.5,Action,Smart TV,Night,2,3,3,5,2,3,Yes,Yes,No,No plans to switch,Better content,Improve recommendations,Synthetic,57.71,60.0,50.0,55.9,Content
727,39.5,Male,Student,0,Netflix,2.0,4.5,750,No,15.0,Action,Laptop/Desktop,Night,4,5,3,5,3,4,No,No,No,No plans to switch,Lower price,Reduce buffering,Synthetic,40.86,38.0,37.0,38.62,Cost
728,21.0,Female,Homemaker,12500,Netflix,2.0,9.0,1750,No,7.5,Drama,Mobile,Evening,3,4,4,4,2,3,No,Yes,Yes,High subscription cost,Lower price,Reduce buffering,Synthetic,72.0,40.0,57.0,56.33,Cost
729,49.5,Male,Student,0,Disney+ Hotstar,1.0,1.5,350,No,2.5,Thriller,Smart TV,Night,4,5,4,5,2,4,No,Yes,Yes,Poor recommendations,Better streaming quality,Improve content variety,Synthetic,34.0,29.0,41.0,34.67,Experience
730,21.0,Female,Working Professional,0,Netflix,1.0,9.0,750,Yes,7.5,Thriller,Laptop/Desktop,Night,2,5,4,4,2,4,No,No,No,No plans to switch,Lower price,Improve content variety,Synthetic,68.86,29.0,48.0,48.62,Cost
731,21.0,Male,Student,0,Netflix,2.0,4.5,750,Yes,7.5,Thriller,Laptop/Desktop,Night,3,4,3,4,4,4,No,Yes,No,No plans to switch,"Lower price, Better content",Reduce advertisements,Synthetic,54.86,49.0,40.0,47.95,Cost
732,21.0,Male,Student,37500,Netflix,2.0,9.0,100,Yes,15.0,Comedy,Mobile,Evening,4,4,4,5,3,5,No,No,No,No plans to switch,"Better recommendations, Better content",Reduce advertisements,Synthetic,29.71,40.0,28.0,32.57,Content
733,21.0,Female,Student,0,Netflix,2.0,4.5,750,No,7.5,Action,Smart TV,Night,5,4,4,3,3,3,No,Yes,No,No plans to switch,Better streaming quality,Improve content variety,Synthetic,26.86,40.0,60.0,42.29,Experience
734,21.0,Male,Student,0,Netflix,3.0,30.0,750,Yes,7.5,Thriller,Smart TV,Night,1,5,4,4,3,4,Yes,No,Yes,High subscription cost,"Lower price, Better content",Offer better family plans,Synthetic,82.86,29.0,44.0,51.95,Cost
735,21.0,Male,Student,0,Amazon Prime Video,2.0,30.0,350,Yes,15.0,Comedy,Laptop/Desktop,Evening,1,4,5,5,3,4,Yes,Yes,No,No plans to switch,"Lower price, Better content",Offer better family plans,Synthetic,76.0,31.0,37.0,48.0,Cost
736,21.0,Female,Working Professional,0,Netflix,5.0,9.0,350,Yes,2.5,Comedy,Laptop/Desktop,Evening,3,5,3,3,3,4,No,Yes,Yes,Poor streaming experience,"Better streaming quality, Fewer ads",Improve content variety,Synthetic,48.0,38.0,51.0,45.67,Experience
737,21.0,Female,Student,0,Netflix,2.0,4.5,750,Yes,7.5,Comedy,Laptop/Desktop,Night,3,4,5,3,5,4,No,Yes,No,No plans to switch,"Lower price, Better content",Improve content variety,Synthetic,54.86,31.0,43.0,42.95,Cost
738,21.0,Male,Student,0,Netflix,2.0,1.5,350,No,7.5,Horror,Laptop/Desktop,Night,3,5,4,5,3,4,Yes,No,No,No plans to switch,"Lower price, Better content",Reduce advertisements,Synthetic,48.0,29.0,37.0,38.0,Cost
739,21.0,Male,Student,62500,Disney+ Hotstar,5.0,1.5,350,Yes,7.5,Horror,Smart TV,Evening,3,4,4,4,3,4,Yes,Yes,Yes,Expensive subscription,Lower price,Offer better family plans,Synthetic,48.0,40.0,44.0,44.0,Cost
740,21.0,Male,Student,0,Amazon Prime Video,5.0,4.5,100,Yes,7.5,Anime,Laptop/Desktop,Evening,4,5,3,4,5,3,No,No,No,No plans to switch,Better recommendations,Improve content variety,Synthetic,29.71,38.0,45.0,37.57,Experience
741,39.5,Female,Student,0,Netflix,3.0,9.0,350,Yes,7.5,Action,Mobile,Evening,2,4,5,5,2,4,Yes,Yes,Yes,Lower price,"Lower price, Family plans",Improve recommendations,Synthetic,62.0,31.0,41.0,44.67,Cost
742,21.0,Male,Student,0,Netflix,2.0,9.0,350,Yes,15.0,Action,Laptop/Desktop,Night,4,5,5,5,3,5,Yes,No,No,No plans to switch,Lower price,Offer better family plans,Synthetic,34.0,20.0,28.0,27.33,Cost
743,21.0,Female,Student,0,Netflix,5.0,4.5,750,Yes,7.5,Action,Smart TV,Evening,4,3,5,4,4,4,Yes,Yes,Yes,Lack of content,Better content,Add more exclusive content,Synthetic,40.86,42.0,40.0,40.95,Content
744,21.0,Female,Student,125000,Amazon Prime Video,3.0,4.5,350,Yes,15.0,Anime,Laptop/Desktop,Night,3,5,5,4,5,3,Yes,No,Yes,Expensive subscription,"Lower price, Family plans",Lower subscription prices,Synthetic,48.0,20.0,45.0,37.67,Cost
745,21.0,Female,Student,62500,Netflix,2.0,1.5,1750,Yes,15.0,Comedy,Mobile,Night,3,5,3,4,2,4,No,No,No,No plans to switch,Lower price,Improve content variety,Synthetic,72.0,38.0,48.0,52.67,Cost
746,21.0,Male,Student,0,Netflix,2.0,4.5,350,Yes,2.5,Comedy,Mobile,Evening,4,4,3,3,3,3,Yes,Yes,No,No plans to switch,"Better streaming quality, Fewer ads",Reduce buffering,Synthetic,34.0,49.0,60.0,47.67,Experience
747,21.0,Male,Student,37500,Netflix,2.0,1.5,350,Yes,7.5,Action,Smart TV,Night,2,3,3,5,2,4,Yes,Yes,No,No plans to switch,"Lower price, Better content",Add more exclusive content,Synthetic,62.0,60.0,41.0,54.33,Cost
748,21.0,Female,Student,0,Netflix,2.0,30.0,750,No,7.5,Horror,Laptop/Desktop,Night,3,3,5,4,2,4,No,Yes,Yes,Expensive subscription,"Lower price, Better content",Add more exclusive content,Synthetic,54.86,42.0,48.0,48.29,Cost
749,21.0,Male,Student,0,Amazon Prime Video,1.0,1.5,750,Yes,15.0,Horror,Mobile,Night,3,5,3,4,3,4,No,Yes,No,No plans to switch,"Lower price, Family plans",Reduce buffering,Synthetic,54.86,38.0,44.0,45.62,Cost
750,21.0,Male,Working Professional,12500,Amazon Prime Video,1.0,30.0,1750,No,2.5,Horror,Smart TV,Night,5,4,4,4,4,4,No,Yes,No,No plans to switch,"Lower price, Family plans",Lower subscription prices,Synthetic,44.0,40.0,40.0,41.33,Cost
751,49.5,Male,Homemaker,12500,Netflix,2.0,4.5,1750,No,7.5,Comedy,Laptop/Desktop,Night,5,4,4,4,5,3,Yes,No,No,No plans to switch,Better streaming quality,Add more exclusive content,Synthetic,44.0,40.0,45.0,43.0,Experience
752,21.0,Male,Student,12500,Netflix,3.0,1.5,350,No,7.5,Romance,Laptop/Desktop,Night,4,4,4,5,4,5,No,No,No,No plans to switch,"Better recommendations, Better content",Improve recommendations,Synthetic,34.0,40.0,24.0,32.67,Content
753,21.0,Male,Student,0,Netflix,2.0,9.0,350,No,7.5,Romance,Smart TV,Night,4,5,4,4,2,4,No,No,No,No plans to switch,Better recommendations,Offer better family plans,Synthetic,34.0,29.0,48.0,37.0,Experience
754,21.0,Male,Student,62500,Netflix,2.0,30.0,350,No,7.5,Thriller,Mobile,Evening,4,4,4,4,3,3,No,Yes,No,No plans to switch,Better recommendations,Reduce advertisements,Synthetic,34.0,40.0,53.0,42.33,Experience
755,21.0,Male,Student,0,Disney+ Hotstar,5.0,30.0,750,No,2.5,Comedy,Laptop/Desktop,Evening,5,5,3,5,4,5,Yes,Yes,Yes,Limited content variety,"Better recommendations, Better content",Reduce advertisements,Synthetic,26.86,38.0,24.0,29.62,Content
756,49.5,Male,Student,62500,Amazon Prime Video,3.0,30.0,350,No,2.5,Romance,Laptop/Desktop,Evening,4,3,5,5,5,4,Yes,No,No,No plans to switch,"Better content, Exclusive originals",Reduce buffering,Synthetic,34.0,42.0,29.0,35.0,Content
757,39.5,Female,Student,0,Netflix,5.0,4.5,750,Yes,7.5,Comedy,Mobile,Night,2,4,3,5,3,3,No,Yes,Yes,Lower price,Lower price,Improve content variety,Synthetic,68.86,49.0,46.0,54.62,Cost
758,21.0,Female,Homemaker,62500,Netflix,2.0,9.0,750,Yes,7.5,Comedy,Laptop/Desktop,Night,5,5,3,3,4,5,Yes,No,No,No plans to switch,"Better content, Exclusive originals",Offer better family plans,Synthetic,26.86,38.0,38.0,34.29,Content
759,39.5,Female,Student,0,Netflix,1.0,4.5,1750,No,7.5,Anime,Smart TV,Evening,4,4,5,5,2,4,No,No,No,No plans to switch,"Lower price, Better content",Improve content variety,Synthetic,58.0,31.0,41.0,43.33,Cost
760,21.0,Female,Student,12500,Disney+ Hotstar,1.0,9.0,350,No,2.5,Thriller,Smart TV,Night,4,4,3,5,2,4,Yes,Yes,No,No plans to switch,"Better content, Exclusive originals",Improve content variety,Synthetic,34.0,49.0,41.0,41.33,Content
761,21.0,Female,Student,0,Amazon Prime Video,1.0,1.5,1750,No,7.5,Comedy,Smart TV,Night,3,5,5,5,4,4,No,No,No,No plans to switch,"Lower price, Better content",Improve recommendations,Synthetic,72.0,20.0,33.0,41.67,Cost
762,49.5,Female,Working Professional,0,Amazon Prime Video,3.0,1.5,100,No,15.0,Thriller,Laptop/Desktop,Night,4,5,4,5,4,5,No,No,No,No plans to switch,Lower price,Reduce advertisements,Synthetic,29.71,29.0,24.0,27.57,Cost
763,21.0,Female,Homemaker,62500,Netflix,3.0,4.5,750,Yes,7.5,Drama,Laptop/Desktop,Evening,3,5,5,4,5,5,Yes,Yes,No,No plans to switch,"Lower price, Family plans",Lower subscription prices,Synthetic,54.86,20.0,27.0,33.95,Cost
764,21.0,Male,Working Professional,0,Netflix,5.0,4.5,350,No,7.5,Comedy,Mobile,Night,4,4,4,4,4,3,No,No,No,No plans to switch,"Better streaming quality, Fewer ads",Reduce buffering,Synthetic,34.0,40.0,49.0,41.0,Experience
765,21.0,Male,Student,0,Netflix,5.0,30.0,350,Yes,7.5,Romance,Mobile,Night,3,4,5,3,4,4,No,Yes,No,No plans to switch,Lower price,Reduce buffering,Synthetic,48.0,31.0,47.0,42.0,Cost
766,21.0,Male,Working Professional,0,Amazon Prime Video,3.0,9.0,750,Yes,7.5,Comedy,Smart TV,Night,3,3,3,3,3,4,No,No,No,No plans to switch,Better content,Offer better family plans,Synthetic,54.86,60.0,51.0,55.29,Content
767,21.0,Male,Working Professional,0,Amazon Prime Video,1.0,4.5,750,No,15.0,Romance,Laptop/Desktop,Night,3,5,5,5,3,5,Yes,No,No,No plans to switch,"Lower price, Better content",Add more exclusive content,Synthetic,54.86,20.0,28.0,34.29,Cost
768,21.0,Male,Student,0,Disney+ Hotstar,5.0,4.5,750,Yes,7.5,Comedy,Laptop/Desktop,Night,3,4,4,4,2,4,Yes,No,No,No plans to switch,"Lower price, Family plans",Reduce buffering,Synthetic,54.86,40.0,48.0,47.62,Cost
769,49.5,Female,Student,0,Netflix,2.0,30.0,350,Yes,7.5,Thriller,Smart TV,Night,4,4,3,5,4,5,Yes,Yes,Yes,Lack of content,"Better content, Exclusive originals",Offer better family plans,Synthetic,34.0,49.0,24.0,35.67,Content
770,21.0,Male,Student,0,Amazon Prime Video,3.0,30.0,100,No,15.0,Drama,Smart TV,Night,2,4,5,5,2,4,No,No,No,No plans to switch,Lower price,Improve content variety,Synthetic,57.71,31.0,41.0,43.24,Cost
771,21.0,Male,Student,0,Netflix,5.0,1.5,100,Yes,7.5,Drama,Laptop/Desktop,Evening,4,5,4,5,3,5,No,No,No,No plans to switch,"Lower price, Better content",Improve content variety,Synthetic,29.71,29.0,28.0,28.9,Cost
772,21.0,Male,Student,0,Netflix,2.0,9.0,750,No,7.5,Action,Smart TV,Night,1,4,3,4,5,3,No,No,Yes,High subscription cost,Lower price,Reduce buffering,Synthetic,82.86,49.0,45.0,58.95,Cost
773,21.0,Male,Student,0,Disney+ Hotstar,3.0,30.0,1750,Yes,7.5,Thriller,Laptop/Desktop,Evening,4,4,4,4,4,3,Yes,Yes,Yes,High subscription cost,Lower price,Improve content variety,Synthetic,58.0,40.0,49.0,49.0,Cost
774,21.0,Male,Homemaker,0,Amazon Prime Video,2.0,4.5,350,Yes,7.5,Romance,Laptop/Desktop,Night,4,5,3,4,1,4,Yes,Yes,No,No plans to switch,Better recommendations,Reduce advertisements,Synthetic,34.0,38.0,52.0,41.33,Experience
775,21.0,Female,Student,0,Amazon Prime Video,5.0,1.5,100,No,7.5,Comedy,Laptop/Desktop,Night,4,4,5,3,1,3,No,No,No,No plans to switch,Better streaming quality,Reduce advertisements,Synthetic,29.71,31.0,68.0,42.9,Experience
776,21.0,Male,Homemaker,62500,Amazon Prime Video,5.0,1.5,350,No,7.5,Action,Laptop/Desktop,Evening,1,4,5,4,5,4,Yes,No,Yes,Expensive subscription,"Lower price, Family plans",Improve recommendations,Synthetic,76.0,31.0,36.0,47.67,Cost
777,21.0,Male,Working Professional,0,Netflix,1.0,1.5,1750,Yes,7.5,Horror,Mobile,Night,3,5,3,5,3,4,Yes,Yes,Yes,Lower price,"Lower price, Family plans",Improve recommendations,Synthetic,72.0,38.0,37.0,49.0,Cost
778,21.0,Female,Working Professional,62500,Netflix,5.0,4.5,350,Yes,2.5,Thriller,Mobile,Evening,3,3,4,4,4,5,Yes,Yes,No,No plans to switch,"Better recommendations, Better content",Improve recommendations,Synthetic,48.0,51.0,31.0,43.33,Content
779,21.0,Male,Working Professional,0,Netflix,1.0,9.0,750,Yes,7.5,Comedy,Mobile,Night,2,4,4,2,4,3,No,No,No,No plans to switch,Lower price,Improve recommendations,Synthetic,68.86,40.0,63.0,57.29,Cost
780,39.5,Female,Homemaker,0,Netflix,1.0,1.5,350,Yes,7.5,Thriller,Smart TV,Night,4,4,3,5,4,3,Yes,No,No,No plans to switch,Better content,Offer better family plans,Synthetic,34.0,49.0,42.0,41.67,Content
781,21.0,Female,Working Professional,0,Netflix,1.0,9.0,350,No,2.5,Action,Mobile,Night,4,3,4,4,4,4,Yes,No,No,No plans to switch,"Better content, Exclusive originals",Offer better family plans,Synthetic,34.0,51.0,40.0,41.67,Content
782,21.0,Male,Student,37500,Amazon Prime Video,2.0,4.5,1750,No,7.5,Horror,Mobile,Night,2,4,3,4,3,5,No,No,No,No plans to switch,"Lower price, Better content",Reduce buffering,Synthetic,86.0,49.0,35.0,56.67,Cost
783,21.0,Male,Student,12500,Netflix,2.0,9.0,100,Yes,7.5,Romance,Laptop/Desktop,Evening,5,5,5,4,5,4,No,Yes,No,No plans to switch,Better recommendations,Reduce advertisements,Synthetic,15.71,20.0,36.0,23.9,Experience
784,21.0,Female,Student,0,Netflix,5.0,9.0,350,Yes,7.5,Comedy,Laptop/Desktop,Night,1,5,5,5,2,4,No,No,Yes,High subscription cost,"Lower price, Family plans",Offer better family plans,Synthetic,76.0,20.0,41.0,45.67,Cost
785,21.0,Female,Working Professional,0,Netflix,2.0,9.0,750,No,7.5,Romance,Smart TV,Night,2,5,5,4,4,4,No,No,No,No plans to switch,"Lower price, Family plans",Lower subscription prices,Synthetic,68.86,20.0,40.0,42.95,Cost
786,39.5,Male,Student,62500,Amazon Prime Video,5.0,4.5,750,Yes,7.5,Thriller,Mobile,Night,3,5,4,3,4,4,No,No,No,No plans to switch,"Lower price, Family plans",Reduce buffering,Synthetic,54.86,29.0,47.0,43.62,Cost
787,21.0,Male,Homemaker,37500,Netflix,3.0,1.5,750,No,7.5,Anime,Laptop/Desktop,Evening,4,5,5,5,5,4,No,No,No,No plans to switch,Lower price,Add more exclusive content,Synthetic,40.86,20.0,29.0,29.95,Cost
788,21.0,Female,Student,0,Netflix,5.0,4.5,100,No,7.5,Thriller,Laptop/Desktop,Night,5,5,5,3,2,4,No,Yes,No,No plans to switch,"Better streaming quality, Fewer ads",Offer better family plans,Synthetic,15.71,20.0,55.0,30.24,Experience
789,21.0,Male,Student,62500,Netflix,2.0,9.0,350,No,7.5,Romance,Laptop/Desktop,Night,1,5,5,4,2,4,Yes,Yes,No,No plans to switch,"Lower price, Better content",Lower subscription prices,Synthetic,76.0,20.0,48.0,48.0,Cost
790,49.5,Male,Working Professional,37500,Netflix,2.0,1.5,350,No,7.5,Drama,Laptop/Desktop,Night,4,5,5,5,3,4,No,No,No,No plans to switch,Better streaming quality,Reduce buffering,Synthetic,34.0,20.0,37.0,30.33,Experience
791,21.0,Female,Student,0,Amazon Prime Video,1.0,1.5,100,No,7.5,Thriller,Laptop/Desktop,Night,3,4,4,4,3,4,No,Yes,No,No plans to switch,Better streaming quality,Offer better family plans,Synthetic,43.71,40.0,44.0,42.57,Experience
792,21.0,Female,Student,0,Disney+ Hotstar,5.0,9.0,350,No,7.5,Drama,Mobile,Evening,4,5,3,4,3,4,Yes,Yes,No,No plans to switch,Better recommendations,Add more exclusive content,Synthetic,34.0,38.0,44.0,38.67,Experience
793,21.0,Male,Student,0,Netflix,1.0,4.5,1750,No,7.5,Anime,Smart TV,Night,1,4,5,5,3,4,No,No,No,No plans to switch,"Lower price, Better content",Reduce buffering,Synthetic,100.0,31.0,37.0,56.0,Cost
794,21.0,Male,Student,0,Netflix,2.0,4.5,750,No,2.5,Romance,Mobile,Evening,3,5,5,5,3,4,Yes,Yes,Yes,Expensive subscription,"Lower price, Better content",Reduce advertisements,Synthetic,54.86,20.0,37.0,37.29,Cost
795,21.0,Female,Student,37500,Amazon Prime Video,5.0,9.0,1750,Yes,7.5,Comedy,Mobile,Evening,4,5,3,4,4,4,No,No,No,No plans to switch,"Lower price, Family plans",Lower subscription prices,Synthetic,58.0,38.0,40.0,45.33,Cost
796,21.0,Male,Student,0,Netflix,5.0,4.5,100,No,7.5,Action,Laptop/Desktop,Night,4,4,3,5,5,5,No,Yes,No,No plans to switch,Better content,Improve recommendations,Synthetic,29.71,49.0,20.0,32.9,Content
797,39.5,Female,Homemaker,0,Netflix,3.0,1.5,350,Yes,7.5,Drama,Laptop/Desktop,Night,5,4,4,5,3,5,No,Yes,No,No plans to switch,Better content,Reduce advertisements,Synthetic,20.0,40.0,28.0,29.33,Content
798,21.0,Male,Student,37500,Amazon Prime Video,2.0,4.5,350,Yes,7.5,Comedy,Laptop/Desktop,Night,3,5,3,5,5,4,Yes,No,No,No plans to switch,"Lower price, Family plans",Improve content variety,Synthetic,48.0,38.0,29.0,38.33,Cost
799,21.0,Female,Student,0,Netflix,2.0,4.5,350,No,7.5,Comedy,Laptop/Desktop,Night,1,4,5,5,4,4,Yes,Yes,Yes,Expensive subscription,"Lower price, Better content",Reduce advertisements,Synthetic,76.0,31.0,33.0,46.67,Cost
800,21.0,Male,Student,0,Netflix,1.0,30.0,100,No,7.5,Romance,Smart TV,Night,4,4,4,3,1,4,Yes,No,No,No plans to switch,Better recommendations,Improve recommendations,Synthetic,29.71,40.0,59.0,42.9,Experience
801,21.0,Male,Student,62500,Netflix,2.0,9.0,750,Yes,7.5,Action,Laptop/Desktop,Evening,1,4,4,4,3,4,Yes,Yes,No,No plans to switch,"Lower price, Family plans",Reduce buffering,Synthetic,82.86,40.0,44.0,55.62,Cost
802,21.0,Female,Student,62500,Netflix,3.0,9.0,350,No,7.5,Comedy,Laptop/Desktop,Evening,4,4,5,4,2,4,No,No,No,No plans to switch,Better recommendations,Reduce advertisements,Synthetic,34.0,31.0,48.0,37.67,Experience
803,21.0,Male,Student,37500,Netflix,1.0,9.0,100,No,7.5,Action,Mobile,Night,3,4,3,5,2,4,Yes,Yes,No,No plans to switch,Better content,Improve content variety,Synthetic,43.71,49.0,41.0,44.57,Content
804,39.5,Female,Working Professional,12500,Netflix,1.0,30.0,100,Yes,2.5,Action,Smart TV,Evening,1,5,5,4,5,5,No,No,No,No plans to switch,Lower price,Offer better family plans,Synthetic,71.71,20.0,27.0,39.57,Cost
805,39.5,Female,Student,0,Amazon Prime Video,2.0,4.5,100,No,2.5,Comedy,Laptop/Desktop,Night,4,5,5,3,2,4,No,No,No,No plans to switch,Better recommendations,Lower subscription prices,Synthetic,29.71,20.0,55.0,34.9,Experience
806,21.0,Female,Student,12500,Netflix,5.0,4.5,350,Yes,2.5,Romance,Mobile,Night,4,5,4,5,3,4,Yes,Yes,No,No plans to switch,Better recommendations,Offer better family plans,Synthetic,34.0,29.0,37.0,33.33,Experience
807,21.0,Female,Working Professional,0,Netflix,2.0,4.5,100,No,15.0,Action,Laptop/Desktop,Evening,3,5,5,4,3,4,No,No,No,No plans to switch,Better streaming quality,Add more exclusive content,Synthetic,43.71,20.0,44.0,35.9,Experience
808,21.0,Female,Student,0,Netflix,5.0,9.0,100,No,7.5,Romance,Mobile,Night,3,5,5,4,2,4,No,Yes,No,No plans to switch,Better recommendations,Reduce buffering,Synthetic,43.71,20.0,48.0,37.24,Experience
809,21.0,Male,Student,0,Disney+ Hotstar,2.0,9.0,350,No,7.5,Romance,Laptop/Desktop,Night,3,5,3,4,3,5,Yes,No,No,No plans to switch,Lower price,Reduce buffering,Synthetic,48.0,38.0,35.0,40.33,Cost
810,21.0,Female,Student,0,Netflix,1.0,4.5,350,No,2.5,Thriller,Smart TV,Night,4,4,3,4,4,4,Yes,No,No,No plans to switch,Better content,Improve content variety,Synthetic,34.0,49.0,40.0,41.0,Content
811,21.0,Male,Student,0,Netflix,2.0,1.5,750,Yes,7.5,Romance,Laptop/Desktop,Night,1,4,3,4,5,4,Yes,No,No,No plans to switch,Lower price,Improve content variety,Synthetic,82.86,49.0,36.0,55.95,Cost
812,21.0,Female,Working Professional,0,Netflix,2.0,1.5,750,No,7.5,Thriller,Mobile,Night,4,4,4,2,2,5,No,Yes,No,No plans to switch,"Better streaming quality, Fewer ads",Add more exclusive content,Synthetic,40.86,40.0,53.0,44.62,Experience
813,21.0,Male,Student,0,Netflix,3.0,1.5,350,Yes,2.5,Action,Mobile,Evening,4,4,5,3,4,3,Yes,Yes,No,No plans to switch,"Better streaming quality, Fewer ads",Improve content variety,Synthetic,34.0,31.0,56.0,40.33,Experience
814,21.0,Male,Student,37500,Netflix,1.0,1.5,100,Yes,7.5,Anime,Laptop/Desktop,Evening,1,4,4,5,2,3,Yes,No,Yes,High subscription cost,"Lower price, Family plans",Lower subscription prices,Synthetic,71.71,40.0,50.0,53.9,Cost
815,49.5,Male,Homemaker,0,Amazon Prime Video,5.0,30.0,750,No,7.5,Anime,Mobile,Night,4,4,4,5,2,2,No,Yes,No,No plans to switch,"Better streaming quality, Fewer ads",Improve recommendations,Synthetic,40.86,40.0,59.0,46.62,Experience
816,21.0,Male,Homemaker,125000,Amazon Prime Video,3.0,1.5,1750,Yes,7.5,Anime,Laptop/Desktop,Night,3,5,3,4,4,4,No,No,Yes,Lower price,"Lower price, Better content",Add more exclusive content,Synthetic,72.0,38.0,40.0,50.0,Cost
817,49.5,Male,Student,0,Netflix,2.0,1.5,100,Yes,7.5,Thriller,Laptop/Desktop,Evening,3,5,3,4,4,4,No,Yes,No,No plans to switch,"Lower price, Better content",Improve content variety,Synthetic,43.71,38.0,40.0,40.57,Cost
818,21.0,Male,Student,37500,Netflix,1.0,9.0,350,Yes,2.5,Action,Mobile,Night,5,4,4,4,4,4,Yes,Yes,Yes,Need better content,Better content,Lower subscription prices,Synthetic,20.0,40.0,40.0,33.33,Content
819,21.0,Female,Working Professional,12500,Netflix,3.0,1.5,350,Yes,7.5,Comedy,Mobile,Evening,4,3,5,5,3,5,No,No,No,No plans to switch,"Better content, Exclusive originals",Improve content variety,Synthetic,34.0,42.0,28.0,34.67,Content
820,39.5,Male,Working Professional,12500,Netflix,5.0,4.5,100,Yes,7.5,Horror,Mobile,Evening,4,5,3,4,3,4,Yes,No,No,No plans to switch,Better recommendations,Offer better family plans,Synthetic,29.71,38.0,44.0,37.24,Experience
821,39.5,Male,Working Professional,0,Netflix,2.0,30.0,750,Yes,7.5,Comedy,Laptop/Desktop,Evening,4,4,3,5,3,4,Yes,Yes,No,No plans to switch,"Better recommendations, Better content",Offer better family plans,Synthetic,40.86,49.0,37.0,42.29,Content
822,21.0,Male,Student,125000,Amazon Prime Video,2.0,4.5,750,Yes,7.5,Thriller,Laptop/Desktop,Night,3,4,3,4,4,4,No,No,No,No plans to switch,"Lower price, Better content",Improve content variety,Synthetic,54.86,49.0,40.0,47.95,Cost
823,21.0,Male,Student,0,Netflix,3.0,30.0,750,Yes,7.5,Action,Mobile,Evening,4,4,5,4,3,4,No,Yes,No,No plans to switch,Better recommendations,Improve recommendations,Synthetic,40.86,31.0,44.0,38.62,Experience
824,21.0,Female,Student,0,Amazon Prime Video,5.0,9.0,100,Yes,7.5,Action,Mobile,Night,3,2,5,5,1,4,Yes,No,No,No plans to switch,Better content,Reduce advertisements,Synthetic,43.71,53.0,45.0,47.24,Content
825,21.0,Male,Student,125000,Netflix,2.0,30.0,350,No,15.0,Horror,Smart TV,Night,4,4,3,5,3,4,No,Yes,No,No plans to switch,Better content,Improve recommendations,Synthetic,34.0,49.0,37.0,40.0,Content
826,21.0,Male,Homemaker,0,Netflix,2.0,4.5,100,No,7.5,Horror,Laptop/Desktop,Night,4,3,5,4,5,4,Yes,No,Yes,Lack of content,"Better content, Exclusive originals",Lower subscription prices,Synthetic,29.71,42.0,36.0,35.9,Content
827,21.0,Female,Student,0,Netflix,2.0,4.5,350,No,7.5,Anime,Smart TV,Evening,3,4,4,4,5,4,No,Yes,No,No plans to switch,"Lower price, Family plans",Add more exclusive content,Synthetic,48.0,40.0,36.0,41.33,Cost
828,21.0,Female,Working Professional,0,Netflix,2.0,30.0,100,No,15.0,Thriller,Mobile,Night,4,5,4,4,4,4,No,No,No,No plans to switch,Better streaming quality,Reduce advertisements,Synthetic,29.71,29.0,40.0,32.9,Experience
829,21.0,Female,Student,0,Netflix,1.0,9.0,350,Yes,7.5,Comedy,Smart TV,Night,3,5,3,3,5,4,Yes,Yes,No,No plans to switch,"Lower price, Better content",Offer better family plans,Synthetic,48.0,38.0,43.0,43.0,Cost
830,21.0,Male,Student,0,Netflix,5.0,9.0,100,No,15.0,Thriller,Laptop/Desktop,Night,2,5,5,3,4,3,No,Yes,No,No plans to switch,"Lower price, Better content",Reduce advertisements,Synthetic,57.71,20.0,56.0,44.57,Cost
831,21.0,Male,Homemaker,0,Amazon Prime Video,2.0,4.5,350,Yes,7.5,Drama,Laptop/Desktop,Night,2,4,3,2,3,4,No,No,No,No plans to switch,"Lower price, Family plans",Improve recommendations,Synthetic,62.0,49.0,58.0,56.33,Cost
832,21.0,Female,Student,0,Netflix,1.0,4.5,750,Yes,7.5,Comedy,Smart TV,Evening,1,4,5,4,3,3,Yes,No,Yes,High subscription cost,"Lower price, Better content",Reduce advertisements,Synthetic,82.86,31.0,53.0,55.62,Cost
833,21.0,Male,Student,0,Netflix,5.0,4.5,750,No,7.5,Romance,Mobile,Night,4,5,3,4,1,4,Yes,No,No,No plans to switch,"Better streaming quality, Fewer ads",Reduce advertisements,Synthetic,40.86,38.0,52.0,43.62,Experience
