Timestamp,Age,Gender,Occupation,Monthly Income,Primary OTT Platform,Number of OTT Subscriptions,Subscription Tenure,Monthly OTT Spend,Share Account?,Hours Watched per Week,Preferred Genre,Primary Device,Usual Viewing Time,Pricing Satisfaction,Content Satisfaction,Content Variety,Recommendation Quality,Advertisement Tolerance,Streaming Experience,Switched Before,Competitor Awareness,Switch Intent,Main Reason For Switching,What Would Encourage Stay,Suggestions To Improve,Data_Source,Age_Numeric,Monthly Income_Numeric,Number of OTT Subscriptions_Numeric,Monthly OTT Spend_Numeric,Hours Watched per Week_Numeric,Subscription Tenure_Numeric
09/23/2026 12:41:00,18 to 24,Female,Student,No Income,Amazon Prime Video,2,6 to 12 months,500 to 999,No,21 to 30,Horror,Mobile,Night,3,3,4,3,5,3,No,No,No,No plans to switch,"Lower price, Better content, Better recommendations, Better streaming quality, Family plans",Improve streaming quality and reduce buffering,Synthetic,21,0,2,750,25.5,9.0
09/24/2026 16:25:00,18 to 24,Other,Student,No Income,Netflix,1,1 to 2 years,500 to 999,No,<5,Action,Laptop/Desktop,Evening,3,3,2,5,3,4,No,Yes,No,No plans to switch,"Lower price, Better content, More content variety, Family plans, Fewer ads",Reduce subscription prices and offer more plans,Synthetic,21,0,1,750,3.0,18.0
09/02/2026 19:29:00,18 to 24,Male,Student,No Income,Amazon Prime Video,4,6 to 12 months,500 to 999,Yes,21 to 30,Horror,Mobile,Night,4,3,5,4,3,5,No,Yes,No,No plans to switch,"Better content, Exclusive originals, Fewer ads",Improve streaming quality and reduce buffering,Synthetic,21,0,4,750,25.5,9.0
09/03/2026 11:16:00,18 to 24,Male,Student,No Income,Netflix,5+,6 to 12 months,200 to 499,Yes,30+,Romance,Mobile,Night,3,5,4,4,4,5,No,Yes,No,No plans to switch,"Lower price, Exclusive originals, Fewer ads",Add more latest movies and exclusive content,Synthetic,21,0,5,350,35.0,9.0
09/04/2026 11:15:00,18 to 24,Male,Homemaker,"50,001 to 75,000",Amazon Prime Video,2,3 to 6 months,500 to 999,No,11 to 20,Thriller,Smart TV,Evening,3,3,4,3,2,4,No,Yes,No,No plans to switch,"Lower price, Better content, Better recommendations, Exclusive originals, Fewer ads",Offer student discounts and family plans,Synthetic,21,62500,2,750,15.5,4.5
09/05/2026 20:35:00,18 to 24,Male,Homemaker,"75,001 to 1,00,000",Netflix,4,1 to 2 years,500 to 999,No,11 to 20,Drama,Laptop/Desktop,Afternoon,3,5,4,3,3,4,No,Yes,No,No plans to switch,"Lower price, Better recommendations, Fewer ads",Offer student discounts and family plans,Synthetic,21,87500,4,750,15.5,18.0
09/06/2026 17:16:00,18 to 24,Female,Student,No Income,Amazon Prime Video,3,1 to 2 years,200 to 499,No,5 to 10,Action,Mobile,Evening,4,3,5,4,1,5,No,Yes,No,No plans to switch,"Better content, Exclusive originals, Family plans, Fewer ads",Improve streaming quality and reduce buffering,Synthetic,21,0,3,350,7.5,18.0
09/07/2026 20:37:00,35 to 44,Female,Homemaker,"25,000 to 50,000",Netflix,3,6 to 12 months,200 to 499,No,30+,Romance,Smart TV,Night,3,4,4,4,2,5,No,No,No,No plans to switch,"Lower price, Better content, Exclusive originals, Fewer ads",Add more latest movies and exclusive content,Synthetic,39,37500,3,350,35.0,9.0
09/08/2026 15:57:00,45 to 54,Female,Working Professional,"75,001 to 1,00,000",Amazon Prime Video,2,3 to 6 months,0 to 199,No,5 to 10,Drama,Smart TV,Night,2,5,3,4,4,5,Yes,No,Yes,High subscription cost,"Lower price, More content variety, Exclusive originals, Family plans",Add more latest movies and exclusive content,Synthetic,49,87500,2,100,7.5,4.5
09/09/2026 18:25:00,18 to 24,Female,Student,No Income,Disney+ Hotstar,1,6 to 12 months,0 to 199,Yes,21 to 30,Action,Laptop/Desktop,Evening,3,4,4,4,3,4,No,Yes,No,No plans to switch,"Lower price, Better content, Exclusive originals, Fewer ads",Add more latest movies and exclusive content,Synthetic,21,0,1,100,25.5,9.0
09/10/2026 14:14:00,18 to 24,Male,Student,No Income,ZEE5,5+,3 to 6 months,0 to 199,No,5 to 10,Action,Smart TV,Night,5,3,3,2,4,4,No,Yes,No,No plans to switch,"Better content, More content variety, Better recommendations, Fewer ads",Reduce advertisements and improve app performance,Synthetic,21,0,5,100,7.5,4.5
09/11/2026 11:32:00,45 to 54,Female,Working Professional,"25,000 to 50,000",Disney+ Hotstar,3,<3 months,200 to 499,No,5 to 10,Action,Smart TV,Evening,3,3,3,4,4,4,No,No,No,No plans to switch,"Lower price, Better content, More content variety",Add more regional and multilingual content,Synthetic,49,37500,3,350,7.5,2.0
09/12/2026 16:05:00,18 to 24,Male,Student,No Income,Netflix,2,1 to 2 years,200 to 499,Yes,5 to 10,Action,Laptop/Desktop,Evening,2,4,3,3,2,5,No,Yes,No,No plans to switch,"Lower price, Better content, More content variety, Better recommendations, Fewer ads",Provide better recommendations and personalized content,Synthetic,21,0,2,350,7.5,18.0
09/13/2026 21:03:00,25 to 34,Female,Working Professional,"75,001 to 1,00,000",SonyLIV,2,>2 years,200 to 499,Yes,5 to 10,Anime,Laptop/Desktop,Evening,3,3,4,4,3,4,No,Yes,No,No plans to switch,"Lower price, Better content, Family plans, Fewer ads",Reduce advertisements and improve app performance,Synthetic,29,87500,2,350,7.5,30.0
09/14/2026 10:09:00,55+,Female,Working Professional,"50,001 to 75,000",Netflix,1,1 to 2 years,200 to 499,Yes,30+,Drama,Mobile,Night,2,4,4,4,2,3,No,No,No,No plans to switch,"Lower price, Better content, Better streaming quality, Exclusive originals, Family plans, Fewer ads",Add more latest movies and exclusive content,Synthetic,58,62500,1,350,35.0,18.0
09/15/2026 19:10:00,18 to 24,Male,Student,No Income,Netflix,2,1 to 2 years,500 to 999,No,5 to 10,Horror,Laptop/Desktop,Night,4,4,3,5,2,4,No,No,No,No plans to switch,"Better content, More content variety, Fewer ads",Reduce advertisements and improve app performance,Synthetic,21,0,2,750,7.5,18.0
09/16/2026 21:43:00,18 to 24,Male,Student,No Income,Amazon Prime Video,4,>2 years,200 to 499,No,<5,Anime,Laptop/Desktop,Night,1,4,3,3,2,3,Yes,Yes,Yes,Poor streaming experience,"Lower price, Better content, More content variety, Better recommendations, Better streaming quality, Family plans, Fewer ads",Reduce advertisements and improve app performance,Synthetic,21,0,4,350,3.0,30.0
09/17/2026 15:38:00,45 to 54,Male,Self-Employed,"25,000 to 50,000",SonyLIV,4,1 to 2 years,0 to 199,No,11 to 20,Comedy,Smart TV,Evening,5,4,3,3,3,2,No,No,No,No plans to switch,"Better content, More content variety, Better recommendations, Better streaming quality, Family plans, Fewer ads",Provide better recommendations and personalized content,Synthetic,49,37500,4,100,15.5,18.0
09/18/2026 10:24:00,45 to 54,Female,Working Professional,"25,000 to 50,000",ZEE5,3,6 to 12 months,500 to 999,Yes,5 to 10,Comedy,Smart TV,Night,4,4,3,3,5,4,Yes,Yes,Yes,Too many advertisements,"Better content, More content variety, Better recommendations, Exclusive originals, Fewer ads",Reduce advertisements and improve app performance,Synthetic,49,37500,3,750,7.5,9.0
09/19/2026 15:38:00,18 to 24,Female,Student,No Income,SonyLIV,2,6 to 12 months,500 to 999,No,11 to 20,Comedy,Laptop/Desktop,Afternoon,3,5,4,4,3,4,Yes,No,Yes,High subscription cost,"Lower price, Family plans, Fewer ads",Improve streaming quality and reduce buffering,Synthetic,21,0,2,750,15.5,9.0
09/20/2026 16:33:00,18 to 24,Other,Student,No Income,Amazon Prime Video,1,6 to 12 months,200 to 499,Yes,5 to 10,Action,Mobile,Evening,1,5,3,3,3,5,No,Yes,Yes,High subscription cost,"Lower price, More content variety, Better recommendations, Family plans, Fewer ads",Improve streaming quality and reduce buffering,Synthetic,21,0,1,350,7.5,9.0
09/21/2026 13:35:00,45 to 54,Female,Working Professional,"50,001 to 75,000",Netflix,2,>2 years,200 to 499,Yes,11 to 20,Anime,Smart TV,Evening,4,5,3,4,3,5,Yes,No,No,Lack of content,"More content variety, Fewer ads",Provide better recommendations and personalized content,Synthetic,49,62500,2,350,15.5,30.0
09/22/2026 09:43:00,18 to 24,Male,Homemaker,"50,001 to 75,000",Amazon Prime Video,3,<3 months,500 to 999,No,11 to 20,Anime,Smart TV,Afternoon,5,3,4,3,1,3,Yes,Yes,No,High subscription cost,"Better content, Better recommendations, Better streaming quality, Family plans, Fewer ads",Add more regional and multilingual content,Synthetic,21,62500,3,750,15.5,2.0
09/23/2026 20:07:00,35 to 44,Male,Working Professional,"75,001 to 1,00,000",Amazon Prime Video,1,6 to 12 months,1000 to 1499,No,5 to 10,Drama,Laptop/Desktop,Night,4,4,3,5,5,4,No,Yes,No,No plans to switch,"Better content, More content variety, Exclusive originals",Improve streaming quality and reduce buffering,Synthetic,39,87500,1,1250,7.5,9.0
09/24/2026 19:56:00,18 to 24,Male,Student,No Income,Netflix,3,6 to 12 months,200 to 499,Yes,30+,Drama,Smart TV,Evening,3,3,4,3,3,4,Yes,Yes,Yes,High subscription cost,"Lower price, Better content, Better recommendations, Exclusive originals, Fewer ads",Add more regional and multilingual content,Synthetic,21,0,3,350,35.0,9.0
09/02/2026 17:48:00,18 to 24,Male,Working Professional,"25,000 to 50,000",Amazon Prime Video,2,>2 years,500 to 999,Yes,11 to 20,Action,Mobile,Night,4,4,4,3,3,4,No,Yes,No,No plans to switch,"Better content, Better recommendations, Exclusive originals, Fewer ads",Add more regional and multilingual content,Synthetic,21,37500,2,750,15.5,30.0
09/03/2026 13:49:00,18 to 24,Female,Student,No Income,Netflix,3,3 to 6 months,200 to 499,No,5 to 10,Drama,Tablet,Night,4,3,5,5,3,3,No,Yes,No,No plans to switch,"Better content, Better streaming quality, Exclusive originals, Fewer ads",Offer student discounts and family plans,Synthetic,21,0,3,350,7.5,4.5
09/04/2026 19:21:00,25 to 34,Male,Working Professional,"Below 25,000",Disney+ Hotstar,3,<3 months,500 to 999,Yes,<5,Documentary,Smart TV,Night,2,4,5,4,1,5,No,Yes,No,No plans to switch,"Lower price, Better content, Fewer ads",Offer student discounts and family plans,Synthetic,29,15000,3,750,3.0,2.0
09/05/2026 10:18:00,55+,Male,Homemaker,"75,001 to 1,00,000",Amazon Prime Video,5+,3 to 6 months,0 to 199,No,5 to 10,Horror,Smart TV,Afternoon,5,5,4,1,4,4,No,Yes,No,No plans to switch,"Better recommendations, Fewer ads",Reduce advertisements and improve app performance,Synthetic,58,87500,5,100,7.5,4.5
09/06/2026 15:10:00,25 to 34,Female,Working Professional,"75,001 to 1,00,000",Amazon Prime Video,4,>2 years,200 to 499,No,<5,Action,Mobile,Evening,4,4,4,3,3,5,Yes,Yes,No,High subscription cost,"Better content, Better recommendations, Fewer ads",Offer student discounts and family plans,Synthetic,29,87500,4,350,3.0,30.0
09/07/2026 16:00:00,55+,Male,Self-Employed,"50,001 to 75,000",Netflix,1,6 to 12 months,500 to 999,No,<5,Action,Mobile,Evening,3,3,4,3,3,4,No,No,No,No plans to switch,"Lower price, Better content, Better recommendations, Exclusive originals, Fewer ads",Offer student discounts and family plans,Synthetic,58,62500,1,750,3.0,9.0
09/08/2026 20:56:00,18 to 24,Male,Student,No Income,Disney+ Hotstar,1,1 to 2 years,1000 to 1499,Yes,11 to 20,Thriller,Laptop/Desktop,Night,3,3,3,4,1,3,No,Yes,No,No plans to switch,"Lower price, Better content, More content variety, Better streaming quality, Family plans, Fewer ads",Reduce subscription prices and offer more plans,Synthetic,21,0,1,1250,15.5,18.0
09/09/2026 20:16:00,18 to 24,Male,Student,No Income,Netflix,2,1 to 2 years,0 to 199,No,<5,Comedy,Smart TV,Evening,2,5,3,3,3,5,No,No,No,No plans to switch,"Lower price, More content variety, Better recommendations, Fewer ads",Provide better recommendations and personalized content,Synthetic,21,0,2,100,3.0,18.0
09/10/2026 17:48:00,25 to 34,Male,Working Professional,"50,001 to 75,000",SonyLIV,4,6 to 12 months,0 to 199,Yes,11 to 20,Comedy,Mobile,Afternoon,4,5,3,2,3,4,No,Yes,No,No plans to switch,"More content variety, Better recommendations, Exclusive originals, Fewer ads",Offer student discounts and family plans,Synthetic,29,62500,4,100,15.5,9.0
09/11/2026 11:32:00,18 to 24,Female,Working Professional,"50,001 to 75,000",Amazon Prime Video,5+,3 to 6 months,500 to 999,No,5 to 10,Action,Laptop/Desktop,Night,3,5,3,5,2,4,No,No,No,No plans to switch,"Lower price, More content variety, Exclusive originals, Family plans, Fewer ads",Add more latest movies and exclusive content,Synthetic,21,62500,5,750,7.5,4.5
09/12/2026 10:55:00,18 to 24,Male,Student,No Income,Netflix,5+,1 to 2 years,500 to 999,No,<5,Romance,Mobile,Night,3,4,4,4,3,4,Yes,Yes,No,Poor streaming experience,"Lower price, Better content, Family plans, Fewer ads",Add more regional and multilingual content,Synthetic,21,0,5,750,3.0,18.0
09/13/2026 19:19:00,35 to 44,Male,Working Professional,"Below 25,000",Netflix,4,6 to 12 months,200 to 499,Yes,<5,Comedy,Laptop/Desktop,Night,4,5,4,4,1,3,Yes,Yes,Yes,High subscription cost,"Better streaming quality, Fewer ads",Add more regional and multilingual content,Synthetic,39,15000,4,350,3.0,9.0
09/14/2026 19:32:00,25 to 34,Female,Self-Employed,"25,000 to 50,000",Amazon Prime Video,3,6 to 12 months,500 to 999,No,5 to 10,Romance,Laptop/Desktop,Night,4,3,3,4,3,5,No,No,No,No plans to switch,"Better content, More content variety, Family plans, Fewer ads",Reduce advertisements and improve app performance,Synthetic,29,37500,3,750,7.5,9.0
09/15/2026 18:12:00,18 to 24,Male,Student,No Income,Disney+ Hotstar,2,3 to 6 months,1500+,No,5 to 10,Thriller,Smart TV,Afternoon,3,4,4,5,1,5,Yes,Yes,Yes,High subscription cost,"Lower price, Better content, Exclusive originals, Fewer ads",Improve streaming quality and reduce buffering,Synthetic,21,0,2,1750,7.5,4.5
09/16/2026 11:23:00,35 to 44,Female,Working Professional,"Above 1,00,000",Netflix,5+,>2 years,500 to 999,No,5 to 10,Comedy,Laptop/Desktop,Night,2,4,4,4,2,4,Yes,No,No,Lack of content,"Lower price, Better content, Family plans, Fewer ads",Reduce subscription prices and offer more plans,Synthetic,39,125000,5,750,7.5,30.0
